,Input sentence,isComparative,subject,object,aspect,predicate,label
0,"Title: Review iPhone 14: Thiết kế, hiệu năng, camera và pin",0,[],[],[],[],[]
1,"iPhone 14 được ra mắt vào 09/2022, được đánh giá là chỉ nâng cấp nhẹ về phần cứng cũng như phần mềm so với thế hệ trước.",1,"['1&&iPhone', '2&&14']","['28&&thế', '29&&hệ', '30&&trước']","['20&&phần', '21&&cứng']","['16&&nâng', '17&&cấp', '18&&nhẹ']",COM+
2,"iPhone 14 được ra mắt vào 09/2022, được đánh giá là chỉ nâng cấp nhẹ về phần cứng cũng như phần mềm so với thế hệ trước.",1,"['1&&iPhone', '2&&14']","['28&&thế', '29&&hệ', '30&&trước']","['24&&phần', '25&&mềm']","['16&&nâng', '17&&cấp', '18&&nhẹ']",COM+
3,Về ngoại hình thì cũng có rất ít sự khác biệt so với thế hệ tiền nhiệm.,1,[],"['14&&thế', '15&&hệ', '16&&tiền', '17&&nhiệm']","['2&&ngoại', '3&&hình']","['7&&rất', '8&&ít', '9&&sự', '10&&khác', '11&&biệt']",EQL
4,"Có một vài ý kiến trái chiều cho rằng, phiên bản iPhone 14 này không có điểm gì nổi bật, thậm chí còn cho rằng không nên bỏ tiền ra nâng cấp hoặc mua.",0,[],[],[],[],[]
5,Thực tế khi mua hoặc nâng cấp một thiết bị di động bạn thường quan tâm đến những yếu tố nào?,0,[],[],[],[],[]
6,"Thiết kế, hiệu năng, camera và pin hay đơn giản hơn chỉ là thương hiệu?",0,[],[],[],[],[]
7,Mặc dù đây không được đánh giá là chiếc iPhone tốt nhất trong tầm giá nhưng lại là chiếc Smartphone cân bằng giữa nhiều yếu tố.,0,[],[],[],[],[]
8,"Hãy cùng Mobileworld review iPhone 14, qua bài viết bên dưới nhé!",0,[],[],[],[],[]
9,alt:,0,[],[],[],[],[]
10,des:,0,[],[],[],[],[]
11,Thiết kế đẹp mắt nhưng không có sự khác biệt,0,[],[],[],[],[]
12,"Nhìn chung, về thiết kế của iPhone 14 thì không có sự khác biệt gì quá nhiều so với phiên bản tiền nhiệm là iPhone 13.",1,"['8&&iPhone', '9&&14']","['26&&iPhone', '27&&13']","['5&&thiết', '6&&kế']","['11&&không', '12&&có', '13&&sự', '14&&khác', '15&&biệt', '16&&gì', '17&&quá', '18&&nhiều']",EQL
13,"Mặt lưng máy được vát phẳng, phần khung viền thì được thiết kế vuông vức và bo cong nhẹ nhàng giúp tăng tính mềm mại nhưng vẫn giữ được sự sang trọng, cao cấp vốn có.",0,[],[],[],[],[]
