,content,comparative,subject,object,aspect,predicate,label,NER
0,"Title : Review iPhone 14 : Thiết kế , hiệu năng , camera và pin",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"iPhone 14 được ra mắt vào 09 / 2022 , được đánh giá là chỉ nâng cấp nhẹ về phần cứng cũng như phần mềm so với thế hệ trước .",1,"['iPhone_14', 'iPhone_14']","['thế_hệ_trước', 'thế_hệ_trước']","['phần_cứng', 'phần_mềm']","['nâng_cấp_nhẹ', 'nâng_cấp_nhẹ']","[6, 6]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 3, 3, 0, 0, 3, 3, 0, 0, 2, 2, 2, 0]"
2,Về ngoại hình thì cũng có rất ít sự khác biệt so với thế hệ tiền nhiệm .,1,[''],['thế_hệ_tiền_nhiệm'],['ngoại_hình'],['rất_ít_sự_khác_biệt'],[2],"[0, 3, 3, 0, 0, 0, 4, 4, 4, 4, 4, 0, 0, 2, 2, 2, 2, 0]"
3,"Có một vài ý kiến trái chiều cho rằng , phiên bản iPhone 14 này không có điểm gì nổi bật , thậm chí còn cho rằng không nên bỏ tiền ra nâng cấp hoặc mua .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,Thực tế khi mua hoặc nâng cấp một thiết bị di động bạn thường quan tâm đến những yếu tố nào ?,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"Thiết kế , hiệu năng , camera và pin hay đơn giản hơn chỉ là thương hiệu ?",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,Mặc dù đây không được đánh giá là chiếc iPhone tốt nhất trong tầm giá nhưng lại là chiếc Smartphone cân bằng giữa nhiều yếu tố .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"Hãy cùng Mobileworld review iPhone 14 , qua bài viết bên dưới nhé !",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,alt :,0,[],[],[],[],[],"[0, 0]"
9,des :,0,[],[],[],[],[],"[0, 0]"
10,1 .,0,[],[],[],[],[],"[0, 0]"
11,Thiết kế đẹp mắt nhưng không có sự khác biệt,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"Nhìn chung , về thiết kế của iPhone 14 thì không có sự khác biệt gì quá nhiều so với phiên bản tiền nhiệm là iPhone 13 .",1,['iPhone_14'],['iPhone_13'],['thiết_kế'],['không_có_sự_khác_biệt_gì_quá_nhiều'],[2],"[0, 0, 0, 0, 3, 3, 0, 1, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]"
13,"Mặt lưng máy được vát phẳng , phần khung viền thì được thiết kế vuông vức và bo cong nhẹ nhàng giúp tăng tính mềm mại nhưng vẫn giữ được sự sang trọng , cao cấp vốn có .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"Thực tế khi trải nghiệm iPhone 14 thì cho người dùng cảm giác cầm nắm khá chắc chắn , đầm tay và rất thoải mái .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
